#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP3624	Lung fibrosis	6	63	1.28	0.82	0.00092	9606.ENSP00000295927,9606.ENSP00000306512,9606.ENSP00000361850,9606.ENSP00000378517,9606.ENSP00000385675,9606.ENSP00000404131	PTX3,CXCL8,PLAU,SPP1,IL6,TGFA
WP4172	PI3K-Akt signaling pathway	11	336	0.82	0.69	0.00092	9606.ENSP00000257290,9606.ENSP00000261405,9606.ENSP00000265131,9606.ENSP00000302150,9606.ENSP00000312673,9606.ENSP00000314897,9606.ENSP00000327890,9606.ENSP00000378517,9606.ENSP00000379111,9606.ENSP00000385675,9606.ENSP00000404131	PDGFRA,VWF,TNC,PRL,GH1,ANGPT2,IL3RA,SPP1,IL4R,IL6,TGFA
WP5078	T cell modulation in pancreatic cancer	5	45	1.35	0.81	0.0012	9606.ENSP00000320084,9606.ENSP00000324890,9606.ENSP00000380855,9606.ENSP00000385675,9606.ENSP00000402060	CD276,CD28,PDCD1LG2,IL6,PVR
WP558	Complement and coagulation cascades	5	58	1.24	0.69	0.0029	9606.ENSP00000234071,9606.ENSP00000261405,9606.ENSP00000339328,9606.ENSP00000361850,9606.ENSP00000363773	PROC,VWF,PLAUR,PLAU,C1QA
WP5088	Prostaglandin signaling	4	32	1.4	0.66	0.0046	9606.ENSP00000306512,9606.ENSP00000324890,9606.ENSP00000379097,9606.ENSP00000385675	CXCL8,CD28,AREG,IL6
WP5095	Overview of proinflammatory and profibrotic mediators	6	126	0.98	0.57	0.0065	9606.ENSP00000286758,9606.ENSP00000306512,9606.ENSP00000375086,9606.ENSP00000378517,9606.ENSP00000379097,9606.ENSP00000385675	CXCL13,CXCL8,CCL25,SPP1,AREG,IL6
WP2328	Allograft rejection	5	88	1.06	0.53	0.0110	9606.ENSP00000257290,9606.ENSP00000286758,9606.ENSP00000306512,9606.ENSP00000324890,9606.ENSP00000363773	PDGFRA,CXCL13,CXCL8,CD28,C1QA
WP4493	Cells and molecules involved in local acute inflammatory response 	3	17	1.55	0.56	0.0123	9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000385675	VCAM1,CXCL8,IL6
WP2806	Complement system	5	96	1.02	0.51	0.0127	9606.ENSP00000295927,9606.ENSP00000339328,9606.ENSP00000363869,9606.ENSP00000378517,9606.ENSP00000415283	PTX3,PLAUR,VSIG4,SPP1,ICAM2
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	8	301	0.73	0.46	0.0127	9606.ENSP00000257290,9606.ENSP00000261405,9606.ENSP00000265131,9606.ENSP00000302150,9606.ENSP00000314897,9606.ENSP00000327890,9606.ENSP00000378517,9606.ENSP00000379111	PDGFRA,VWF,TNC,PRL,ANGPT2,IL3RA,SPP1,IL4R
WP5222	2q13 copy number variation syndrome	4	60	1.13	0.48	0.0191	9606.ENSP00000286758,9606.ENSP00000314807,9606.ENSP00000331831,9606.ENSP00000385675	CXCL13,IL1RAP,GAS6,IL6
WP5236	Markers of kidney cell lineage	4	59	1.13	0.48	0.0191	9606.ENSP00000220772,9606.ENSP00000224784,9606.ENSP00000265131,9606.ENSP00000348944	SFRP1,ACTA2,TNC,RSPO1
WP5087	Malignant pleural mesothelioma	9	434	0.62	0.39	0.0211	9606.ENSP00000220772,9606.ENSP00000224784,9606.ENSP00000257290,9606.ENSP00000314897,9606.ENSP00000361850,9606.ENSP00000368710,9606.ENSP00000379097,9606.ENSP00000385675,9606.ENSP00000404131	SFRP1,ACTA2,PDGFRA,ANGPT2,PLAU,RASSF2,AREG,IL6,TGFA
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	4	66	1.09	0.45	0.0225	9606.ENSP00000203629,9606.ENSP00000286758,9606.ENSP00000306512,9606.ENSP00000385675	LAG3,CXCL13,CXCL8,IL6
WP453	Inflammatory response pathway	3	30	1.3	0.44	0.0300	9606.ENSP00000324890,9606.ENSP00000365435,9606.ENSP00000379111	CD28,TNFRSF1B,IL4R
WP5323	Fatty Acids and Lipoproteins Transport in Hepatocytes	8	380	0.63	0.36	0.0335	9606.ENSP00000259486,9606.ENSP00000275560,9606.ENSP00000295834,9606.ENSP00000341141,9606.ENSP00000352071,9606.ENSP00000365081,9606.ENSP00000405453,9606.ENSP00000485276	ENPP2,SSC4D,FABP1,SIGLEC1,CD163,APOM,MSR1,SCARF2
WP3617	Photodynamic therapy-induced NF-kB survival signaling	3	34	1.25	0.41	0.0372	9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000385675	VCAM1,CXCL8,IL6
WP3614	Photodynamic therapy-induced HIF-1 survival signaling	3	36	1.22	0.4	0.0398	9606.ENSP00000275525,9606.ENSP00000314897,9606.ENSP00000404131	IGFBP1,ANGPT2,TGFA
WP4329	miRNA role in immune response in sepsis	3	37	1.21	0.4	0.0398	9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000385675	VCAM1,CXCL8,IL6
WP4806	EGFR tyrosine kinase inhibitor resistance	4	83	0.99	0.38	0.0398	9606.ENSP00000257290,9606.ENSP00000331831,9606.ENSP00000385675,9606.ENSP00000404131	PDGFRA,GAS6,IL6,TGFA
WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	4	87	0.97	0.38	0.0404	9606.ENSP00000220772,9606.ENSP00000280904,9606.ENSP00000355124,9606.ENSP00000470555	SFRP1,DSC2,KRT19,KLK13
WP4146	Macrophage markers	2	9	1.65	0.4	0.0460	9606.ENSP00000009530,9606.ENSP00000352071	CD74,CD163
