#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP673	ErbB signaling pathway	7	89	1.19	0.88	0.00041	9606.ENSP00000233154,9606.ENSP00000265171,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000500582	NCK2,EGF,STAT5B,CRKL,SRC,CDKN1A,AKT3
WP3888	VEGFA-VEGFR2 signaling	12	428	0.75	0.67	0.00079	9606.ENSP00000220764,9606.ENSP00000248553,9606.ENSP00000285735,9606.ENSP00000296181,9606.ENSP00000327801,9606.ENSP00000334145,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000369081,9606.ENSP00000376367,9606.ENSP00000391592	DECR1,HSPB1,RHOC,ITGB5,P4HB,F3,PLA2G4A,NCF2,SRC,TXNDC5,WASF1,PTPN6
WP2324	AGE/RAGE pathway	5	66	1.18	0.61	0.0058	9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000356436,9606.ENSP00000362680,9606.ENSP00000479889	STAT5B,CASP3,PLA2G4A,SRC,IRAK4
WP4155	Endometrial cancer	5	63	1.2	0.61	0.0058	9606.ENSP00000262320,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000384849,9606.ENSP00000500582	AXIN1,FGF2,EGF,CDKN1A,AKT3
WP4255	Non-small cell lung cancer	5	72	1.14	0.6	0.0058	9606.ENSP00000265171,9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000384849,9606.ENSP00000500582	EGF,STAT5B,CASP3,CDKN1A,AKT3
WP437	EGF/EGFR signaling pathway	7	162	0.93	0.57	0.0058	9606.ENSP00000233154,9606.ENSP00000265171,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000366306	NCK2,EGF,DOK2,STAT5B,CRKL,SRC,SPRY2
WP2037	Prolactin signaling pathway	5	76	1.12	0.6	0.0060	9606.ENSP00000293328,9606.ENSP00000300026,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,PPIB,CASP3,SRC,PTPN6
WP286	IL-3 signaling pathway	4	49	1.21	0.53	0.0130	9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,CRKL,SRC,PTPN6
WP4666	Hepatitis B infection	6	150	0.9	0.49	0.0130	9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000479889,9606.ENSP00000500582	STAT5B,CASP3,SRC,CDKN1A,IRAK4,AKT3
WP5115	Network map of SARS-CoV-2 signaling pathway	7	218	0.81	0.47	0.0130	9606.ENSP00000263851,9606.ENSP00000264498,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000305769,9606.ENSP00000311032,9606.ENSP00000391592	IL7,FGF2,CXCL3,CXCL5,SMAD1,CASP3,PTPN6
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	4	53	1.18	0.52	0.0135	9606.ENSP00000248553,9606.ENSP00000262320,9606.ENSP00000321326,9606.ENSP00000384849	HSPB1,AXIN1,F2R,CDKN1A
WP3929	Chemokine signaling pathway	6	165	0.86	0.47	0.0143	9606.ENSP00000006053,9606.ENSP00000293328,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000346300,9606.ENSP00000500582	CX3CL1,STAT5B,CXCL3,CXCL5,CRKL,AKT3
WP1539	Angiogenesis	3	23	1.41	0.52	0.0158	9606.ENSP00000264498,9606.ENSP00000305769,9606.ENSP00000362680	FGF2,SMAD1,SRC
WP304	Kit receptor signaling pathway	4	59	1.13	0.5	0.0158	9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,CRKL,SRC,PTPN6
WP382	MAPK signaling pathway	7	245	0.75	0.44	0.0158	9606.ENSP00000248553,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000311032,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000500582	HSPB1,FGF2,EGF,CASP3,CRKL,PLA2G4A,AKT3
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	62	1.11	0.49	0.0158	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000442600	GRAP2,LAT,PTPN6,DAG1
