#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5078	T cell modulation in pancreatic cancer	6	45	1.42	1.04	0.00016	9606.ENSP00000312002,9606.ENSP00000370989,9606.ENSP00000380855,9606.ENSP00000385675,9606.ENSP00000402060,9606.ENSP00000412237	HAVCR2,CD274,PDCD1LG2,IL6,PVR,IL10
WP4891	COVID-19 adverse outcome pathway	4	15	1.72	0.89	0.00084	9606.ENSP00000306512,9606.ENSP00000385675,9606.ENSP00000389326,9606.ENSP00000412237	CXCL8,IL6,ACE2,IL10
WP4217	Ebola virus infection in host	7	129	1.03	0.72	0.0014	9606.ENSP00000285735,9606.ENSP00000295408,9606.ENSP00000301178,9606.ENSP00000312002,9606.ENSP00000331831,9606.ENSP00000415283,9606.ENSP00000497069	RHOC,MERTK,AXL,HAVCR2,GAS6,ICAM2,IGF1R
WP4172	PI3K-Akt signaling pathway	10	336	0.77	0.62	0.0018	9606.ENSP00000261405,9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000376943,9606.ENSP00000378517,9606.ENSP00000379111,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000495951,9606.ENSP00000497069	VWF,CSF1,EPHA2,BCL2L11,SPP1,IL4R,CDKN1A,IL6,KITLG,IGF1R
WP4396	Nonalcoholic fatty liver disease	7	154	0.96	0.68	0.0018	9606.ENSP00000162749,9606.ENSP00000258424,9606.ENSP00000274137,9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000376943,9606.ENSP00000385675	TNFRSF1A,COX5B,NDUFS6,VCAM1,CXCL8,BCL2L11,IL6
WP4754	IL-18 signaling pathway	9	271	0.82	0.64	0.0018	9606.ENSP00000162749,9606.ENSP00000295927,9606.ENSP00000306512,9606.ENSP00000356505,9606.ENSP00000378517,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000434717,9606.ENSP00000495951	TNFRSF1A,PTX3,CXCL8,NCF2,SPP1,IL6,IL10,IL18BP,KITLG
WP5087	Malignant pleural mesothelioma	11	434	0.7	0.6	0.0018	9606.ENSP00000327513,9606.ENSP00000351209,9606.ENSP00000361850,9606.ENSP00000368710,9606.ENSP00000370989,9606.ENSP00000384849,9606.ENSP00000385451,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000495951,9606.ENSP00000497069	CSF1,EPHA2,PLAU,RASSF2,CD274,CDKN1A,MDK,IL6,IL10,KITLG,IGF1R
WP5222	2q13 copy number variation syndrome	5	60	1.22	0.74	0.0018	9606.ENSP00000295408,9606.ENSP00000327513,9606.ENSP00000331831,9606.ENSP00000376943,9606.ENSP00000385675	MERTK,CSF1,GAS6,BCL2L11,IL6
WP3624	Lung fibrosis	5	63	1.2	0.73	0.0019	9606.ENSP00000295927,9606.ENSP00000306512,9606.ENSP00000361850,9606.ENSP00000378517,9606.ENSP00000385675	PTX3,CXCL8,PLAU,SPP1,IL6
WP474	Endochondral ossification	5	62	1.21	0.73	0.0019	9606.ENSP00000283147,9606.ENSP00000295113,9606.ENSP00000361850,9606.ENSP00000378517,9606.ENSP00000497069	BMP6,FRZB,PLAU,SPP1,IGF1R
