#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP4172	PI3K-Akt signaling pathway	10	336	0.77	0.51	0.0078	9606.ENSP00000222390,9606.ENSP00000263851,9606.ENSP00000264498,9606.ENSP00000265131,9606.ENSP00000327513,9606.ENSP00000357392,9606.ENSP00000379111,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000500582	HGF,IL7,FGF2,TNC,CSF1,EFNA1,IL4R,CDKN1A,IL6,AKT3
WP453	Inflammatory response pathway	4	30	1.42	0.57	0.0099	9606.ENSP00000162749,9606.ENSP00000361359,9606.ENSP00000365435,9606.ENSP00000379111	TNFRSF1A,CD40,TNFRSF1B,IL4R
WP5095	Overview of proinflammatory and profibrotic mediators	6	126	0.97	0.49	0.0146	9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000327513,9606.ENSP00000367832,9606.ENSP00000385675,9606.ENSP00000481357	IL7,CXCL3,CSF1,CCL7,IL6,CCL23
WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	4	47	1.22	0.5	0.0162	9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000428924,9606.ENSP00000462468	SRC,IL6,LYN,YES1
WP2848	Pluripotent stem cell differentiation pathway	4	47	1.22	0.5	0.0162	9606.ENSP00000222390,9606.ENSP00000264498,9606.ENSP00000327513,9606.ENSP00000385675	HGF,FGF2,CSF1,IL6
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	8	301	0.72	0.43	0.0162	9606.ENSP00000222390,9606.ENSP00000264498,9606.ENSP00000265131,9606.ENSP00000327513,9606.ENSP00000357392,9606.ENSP00000379111,9606.ENSP00000384849,9606.ENSP00000500582	HGF,FGF2,TNC,CSF1,EFNA1,IL4R,CDKN1A,AKT3
WP4136	Fibrin complement receptor 3 signaling pathway	4	43	1.26	0.5	0.0162	9606.ENSP00000217407,9606.ENSP00000296026,9606.ENSP00000362680,9606.ENSP00000385675	LBP,CXCL3,SRC,IL6
WP4806	EGFR tyrosine kinase inhibitor resistance	5	83	1.07	0.49	0.0162	9606.ENSP00000222390,9606.ENSP00000264498,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000500582	HGF,FGF2,SRC,IL6,AKT3
WP5087	Malignant pleural mesothelioma	10	434	0.66	0.42	0.0162	9606.ENSP00000222390,9606.ENSP00000224784,9606.ENSP00000264498,9606.ENSP00000327513,9606.ENSP00000357392,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000385451,9606.ENSP00000385675,9606.ENSP00000500582	HGF,ACTA2,FGF2,CSF1,EFNA1,SRC,CDKN1A,MDK,IL6,AKT3
WP1539	Angiogenesis	3	23	1.41	0.48	0.0213	9606.ENSP00000264498,9606.ENSP00000305769,9606.ENSP00000362680	FGF2,SMAD1,SRC
WP4205	MET in type 1 papillary renal cell carcinoma	4	58	1.13	0.46	0.0213	9606.ENSP00000222390,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000500582	HGF,SRC,CDKN1A,AKT3
WP3624	Lung fibrosis	4	63	1.1	0.45	0.0224	9606.ENSP00000218388,9606.ENSP00000222390,9606.ENSP00000264498,9606.ENSP00000385675	TIMP1,HGF,FGF2,IL6
WP5322	CKAP4 signaling pathway map	5	114	0.94	0.44	0.0224	9606.ENSP00000162749,9606.ENSP00000276431,9606.ENSP00000362680,9606.ENSP00000367265,9606.ENSP00000385675	TNFRSF1A,TNFRSF10B,SRC,CKAP4,IL6
WP530	Cytokines and inflammatory response	3	26	1.36	0.47	0.0232	9606.ENSP00000263851,9606.ENSP00000327513,9606.ENSP00000385675	IL7,CSF1,IL6
WP5083	Neuroinflammation and glutamatergic signaling	5	140	0.85	0.36	0.0441	9606.ENSP00000162749,9606.ENSP00000264498,9606.ENSP00000365435,9606.ENSP00000379111,9606.ENSP00000385675	TNFRSF1A,FGF2,TNFRSF1B,IL4R,IL6
WP2261	Glioblastoma signaling pathways	4	82	0.98	0.37	0.0462	9606.ENSP00000362680,9606.ENSP00000366306,9606.ENSP00000384849,9606.ENSP00000500582	SRC,SPRY2,CDKN1A,AKT3
WP5115	Network map of SARS-CoV-2 signaling pathway	6	218	0.73	0.34	0.0462	9606.ENSP00000217407,9606.ENSP00000263851,9606.ENSP00000264498,9606.ENSP00000296026,9606.ENSP00000305769,9606.ENSP00000385675	LBP,IL7,FGF2,CXCL3,SMAD1,IL6
