#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5115	Network map of SARS-CoV-2 signaling pathway	10	218	0.96	0.88	0.00017	9606.ENSP00000236671,9606.ENSP00000306512,9606.ENSP00000338171,9606.ENSP00000345344,9606.ENSP00000352071,9606.ENSP00000365081,9606.ENSP00000370473,9606.ENSP00000378786,9606.ENSP00000385675,9606.ENSP00000389326	CTSD,CXCL8,SKAP1,CTSL,CD163,APOM,IGFBP3,HLA-DRA,IL6,ACE2
WP3617	Photodynamic therapy-induced NF-kB survival signaling	4	34	1.37	0.52	0.0149	9606.ENSP00000162749,9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000385675	TNFRSF1A,VCAM1,CXCL8,IL6
WP4172	PI3K-Akt signaling pathway	9	336	0.73	0.44	0.0152	9606.ENSP00000222390,9606.ENSP00000261405,9606.ENSP00000297494,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000364979,9606.ENSP00000379111,9606.ENSP00000385675,9606.ENSP00000495951	HGF,VWF,NOS3,ANGPT2,CSF1,COL4A1,IL4R,IL6,KITLG
WP4891	COVID-19 adverse outcome pathway	3	15	1.6	0.53	0.0152	9606.ENSP00000306512,9606.ENSP00000385675,9606.ENSP00000389326	CXCL8,IL6,ACE2
WP5087	Malignant pleural mesothelioma	10	434	0.66	0.43	0.0152	9606.ENSP00000220772,9606.ENSP00000222390,9606.ENSP00000224784,9606.ENSP00000265071,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000361850,9606.ENSP00000364979,9606.ENSP00000385675,9606.ENSP00000495951	SFRP1,HGF,ACTA2,CDH6,ANGPT2,CSF1,PLAU,COL4A1,IL6,KITLG
WP2848	Pluripotent stem cell differentiation pathway	4	47	1.23	0.5	0.0160	9606.ENSP00000222390,9606.ENSP00000327513,9606.ENSP00000385675,9606.ENSP00000495951	HGF,CSF1,IL6,KITLG
WP3287	Overview of nanoparticle effects	3	19	1.5	0.52	0.0160	9606.ENSP00000306512,9606.ENSP00000364979,9606.ENSP00000385675	CXCL8,COL4A1,IL6
WP3932	Focal adhesion: PI3K-Akt-mTOR-signaling pathway	8	301	0.72	0.44	0.0160	9606.ENSP00000222390,9606.ENSP00000261405,9606.ENSP00000297494,9606.ENSP00000314897,9606.ENSP00000327513,9606.ENSP00000364979,9606.ENSP00000379111,9606.ENSP00000495951	HGF,VWF,NOS3,ANGPT2,CSF1,COL4A1,IL4R,KITLG
WP4493	Cells and molecules involved in local acute inflammatory response 	3	17	1.55	0.52	0.0160	9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000385675	VCAM1,CXCL8,IL6
WP4884	Pathogenesis of SARS-CoV-2 mediated by nsp9-nsp10 complex	3	21	1.45	0.51	0.0178	9606.ENSP00000306512,9606.ENSP00000378786,9606.ENSP00000385675	CXCL8,HLA-DRA,IL6
