#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP286	IL-3 signaling pathway	5	49	1.31	0.68	0.0037	9606.ENSP00000228434,9606.ENSP00000293328,9606.ENSP00000362680,9606.ENSP00000391592,9606.ENSP00000428924	CD69,STAT5B,SRC,PTPN6,LYN
WP5095	Overview of proinflammatory and profibrotic mediators	7	126	1.04	0.63	0.0037	9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000354901,9606.ENSP00000367832,9606.ENSP00000385675,9606.ENSP00000472467	CCL27,IL7,CXCL3,CXCL9,CCL7,IL6,CXCL17
WP5115	Network map of SARS-CoV-2 signaling pathway	8	218	0.86	0.59	0.0037	9606.ENSP00000259631,9606.ENSP00000263851,9606.ENSP00000264498,9606.ENSP00000296026,9606.ENSP00000305769,9606.ENSP00000354901,9606.ENSP00000385675,9606.ENSP00000391592	CCL27,IL7,FGF2,CXCL3,SMAD1,CXCL9,IL6,PTPN6
WP673	ErbB signaling pathway	6	89	1.13	0.65	0.0037	9606.ENSP00000233154,9606.ENSP00000265171,9606.ENSP00000293328,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000500582	NCK2,EGF,STAT5B,SRC,CDKN1A,AKT3
WP3929	Chemokine signaling pathway	7	165	0.93	0.6	0.0039	9606.ENSP00000259631,9606.ENSP00000293328,9606.ENSP00000296026,9606.ENSP00000354901,9606.ENSP00000367832,9606.ENSP00000428924,9606.ENSP00000500582	CCL27,STAT5B,CXCL3,CXCL9,CCL7,LYN,AKT3
WP2828	Bladder cancer	4	39	1.31	0.59	0.0081	9606.ENSP00000265171,9606.ENSP00000362680,9606.ENSP00000379038,9606.ENSP00000384849	EGF,SRC,TYMP,CDKN1A
WP4806	EGFR tyrosine kinase inhibitor resistance	5	83	1.08	0.55	0.0089	9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000500582	FGF2,EGF,SRC,IL6,AKT3
WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	4	47	1.23	0.54	0.0120	9606.ENSP00000293328,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000428924	STAT5B,SRC,IL6,LYN
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	4	53	1.18	0.51	0.0151	9606.ENSP00000248553,9606.ENSP00000276431,9606.ENSP00000321326,9606.ENSP00000384849	HSPB1,TNFRSF10B,F2R,CDKN1A
WP4300	Extracellular vesicles in the crosstalk of cardiac cells	3	19	1.5	0.53	0.0151	9606.ENSP00000248553,9606.ENSP00000265171,9606.ENSP00000385675	HSPB1,EGF,IL6
