#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP69	T-cell receptor signaling pathway	8	90	1.24	1.16	2.69e-05	9606.ENSP00000221930,9606.ENSP00000338171,9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378845,9606.ENSP00000385675,9606.ENSP00000478699	TGFB1,SKAP1,GRAP2,SH2B3,CRKL,LAT,IL6,TNFRSF9
WP5078	T cell modulation in pancreatic cancer	6	45	1.42	1.11	8.35e-05	9606.ENSP00000221930,9606.ENSP00000349446,9606.ENSP00000361359,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000478699	TGFB1,ARG1,CD40,IL6,IL10,TNFRSF9
WP4298	Acute viral myocarditis	7	85	1.21	1.02	0.00011	9606.ENSP00000221930,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000416255,9606.ENSP00000442600	TGFB1,CASP3,SRC,IL6,IL10,EIF4G1,DAG1
WP5095	Overview of proinflammatory and profibrotic mediators	7	126	1.04	0.76	0.00098	9606.ENSP00000221930,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000354901,9606.ENSP00000378517,9606.ENSP00000385675,9606.ENSP00000412237	TGFB1,IL7,CXCL3,CXCL9,SPP1,IL6,IL10
WP2328	Allograft rejection	6	88	1.13	0.75	0.0013	9606.ENSP00000221930,9606.ENSP00000311032,9606.ENSP00000354901,9606.ENSP00000361359,9606.ENSP00000363773,9606.ENSP00000412237	TGFB1,CASP3,CXCL9,CD40,C1QA,IL10
WP530	Cytokines and inflammatory response	4	26	1.48	0.76	0.0020	9606.ENSP00000221930,9606.ENSP00000263851,9606.ENSP00000385675,9606.ENSP00000412237	TGFB1,IL7,IL6,IL10
WP5115	Network map of SARS-CoV-2 signaling pathway	8	218	0.86	0.64	0.0021	9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000311032,9606.ENSP00000338171,9606.ENSP00000354901,9606.ENSP00000385675,9606.ENSP00000391592,9606.ENSP00000412237	IL7,CXCL3,CASP3,SKAP1,CXCL9,IL6,PTPN6,IL10
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	5	62	1.2	0.71	0.0022	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000412237,9606.ENSP00000442600	GRAP2,LAT,PTPN6,IL10,DAG1
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	5	66	1.17	0.69	0.0026	9606.ENSP00000221930,9606.ENSP00000296026,9606.ENSP00000354901,9606.ENSP00000385675,9606.ENSP00000412237	TGFB1,CXCL3,CXCL9,IL6,IL10
WP4495	IL-10 anti-inflammatory signaling pathway 	3	12	1.69	0.69	0.0043	9606.ENSP00000263368,9606.ENSP00000385675,9606.ENSP00000412237	BLVRB,IL6,IL10
