#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP4217	Ebola virus infection in host	8	129	1.09	0.86	0.00036	9606.ENSP00000301178,9606.ENSP00000312002,9606.ENSP00000331831,9606.ENSP00000345344,9606.ENSP00000365817,9606.ENSP00000378786,9606.ENSP00000415283,9606.ENSP00000487363	AXL,HAVCR2,GAS6,CTSL,HLA-E,HLA-DRA,ICAM2,HAVCR1
WP530	Cytokines and inflammatory response	5	26	1.58	0.97	0.00036	9606.ENSP00000225474,9606.ENSP00000296545,9606.ENSP00000327513,9606.ENSP00000378786,9606.ENSP00000385675	CSF3,IL15,CSF1,HLA-DRA,IL6
WP4891	COVID-19 adverse outcome pathway	4	15	1.72	0.93	0.00058	9606.ENSP00000225474,9606.ENSP00000385675,9606.ENSP00000389326,9606.ENSP00000477908	CSF3,IL6,ACE2,CCL3
WP3624	Lung fibrosis	5	63	1.19	0.66	0.0038	9606.ENSP00000218388,9606.ENSP00000222390,9606.ENSP00000225474,9606.ENSP00000385675,9606.ENSP00000477908	TIMP1,HGF,CSF3,IL6,CCL3
WP5115	Network map of SARS-CoV-2 signaling pathway	8	218	0.86	0.59	0.0038	9606.ENSP00000236671,9606.ENSP00000338171,9606.ENSP00000345344,9606.ENSP00000352071,9606.ENSP00000378786,9606.ENSP00000385675,9606.ENSP00000389326,9606.ENSP00000477908	CTSD,SKAP1,CTSL,CD163,HLA-DRA,IL6,ACE2,CCL3
WP2572	Primary focal segmental glomerulosclerosis (FSGS)	5	72	1.14	0.61	0.0052	9606.ENSP00000269141,9606.ENSP00000345344,9606.ENSP00000368678,9606.ENSP00000384849,9606.ENSP00000442600	CDH2,CTSL,AGRN,CDKN1A,DAG1
WP3617	Photodynamic therapy-induced NF-kB survival signaling	4	34	1.37	0.64	0.0052	9606.ENSP00000162749,9606.ENSP00000264832,9606.ENSP00000294728,9606.ENSP00000385675	TNFRSF1A,ICAM1,VCAM1,IL6
WP4329	miRNA role in immune response in sepsis	4	37	1.33	0.64	0.0052	9606.ENSP00000264832,9606.ENSP00000294728,9606.ENSP00000385675,9606.ENSP00000477908	ICAM1,VCAM1,IL6,CCL3
WP4493	Cells and molecules involved in local acute inflammatory response 	3	17	1.54	0.56	0.0116	9606.ENSP00000264832,9606.ENSP00000294728,9606.ENSP00000385675	ICAM1,VCAM1,IL6
WP5055	Burn wound healing	5	100	0.99	0.49	0.0150	9606.ENSP00000218388,9606.ENSP00000222390,9606.ENSP00000264832,9606.ENSP00000296545,9606.ENSP00000385675	TIMP1,HGF,ICAM1,IL15,IL6
WP3942	PPAR signaling pathway	4	67	1.07	0.42	0.0309	9606.ENSP00000256104,9606.ENSP00000295834,9606.ENSP00000301455,9606.ENSP00000333664	FABP4,FABP1,ANGPTL4,ACAA1
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	4	66	1.08	0.42	0.0309	9606.ENSP00000312002,9606.ENSP00000385675,9606.ENSP00000389326,9606.ENSP00000477908	HAVCR2,IL6,ACE2,CCL3
WP4754	IL-18 signaling pathway	7	271	0.71	0.37	0.0316	9606.ENSP00000162749,9606.ENSP00000218388,9606.ENSP00000264832,9606.ENSP00000356505,9606.ENSP00000385675,9606.ENSP00000434717,9606.ENSP00000477908	TNFRSF1A,TIMP1,ICAM1,NCF2,IL6,IL18BP,CCL3
WP5095	Overview of proinflammatory and profibrotic mediators	5	126	0.89	0.4	0.0316	9606.ENSP00000225474,9606.ENSP00000296545,9606.ENSP00000327513,9606.ENSP00000385675,9606.ENSP00000477908	CSF3,IL15,CSF1,IL6,CCL3
WP5088	Prostaglandin signaling	3	32	1.27	0.41	0.0379	9606.ENSP00000327513,9606.ENSP00000385675,9606.ENSP00000477908	CSF1,IL6,CCL3
WP15	Selenium micronutrient network	4	84	0.97	0.36	0.0483	9606.ENSP00000264170,9606.ENSP00000264832,9606.ENSP00000298510,9606.ENSP00000385675	KYNU,ICAM1,PRDX3,IL6
WP4806	EGFR tyrosine kinase inhibitor resistance	4	83	0.98	0.36	0.0483	9606.ENSP00000222390,9606.ENSP00000301178,9606.ENSP00000331831,9606.ENSP00000385675	HGF,AXL,GAS6,IL6
