#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP69	T-cell receptor signaling pathway	6	90	1.12	0.58	0.0072	9606.ENSP00000338171,9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378845,9606.ENSP00000446007	SKAP1,GRAP2,SH2B3,CRKL,LAT,VIM
WP5072	Modulators of TCR signaling and T cell activation	5	61	1.21	0.58	0.0081	9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000360181,9606.ENSP00000378845,9606.ENSP00000391592	GRAP2,SH2B3,SH2D1A,LAT,PTPN6
WP2037	Prolactin signaling pathway	5	76	1.11	0.5	0.0146	9606.ENSP00000267257,9606.ENSP00000300026,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000391592	PXN,PPIB,CASP3,SRC,PTPN6
WP3888	VEGFA-VEGFR2 signaling	10	428	0.66	0.43	0.0146	9606.ENSP00000248553,9606.ENSP00000267257,9606.ENSP00000285735,9606.ENSP00000327801,9606.ENSP00000338934,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000391592,9606.ENSP00000395574	HSPB1,PXN,RHOC,P4HB,EZR,PLA2G4A,NCF2,SRC,PTPN6,ELOA
WP4298	Acute viral myocarditis	5	85	1.06	0.5	0.0146	9606.ENSP00000311032,9606.ENSP00000355759,9606.ENSP00000362680,9606.ENSP00000433138,9606.ENSP00000442600	CASP3,PARP1,SRC,CASP1,DAG1
WP3644	NAD+ metabolism	3	16	1.57	0.53	0.0149	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000366410	NAMPT,PARP1,NMNAT1
WP3645	NAD+ biosynthetic pathways	3	22	1.43	0.44	0.0296	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000366410	NAMPT,PARP1,NMNAT1
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	62	1.1	0.42	0.0296	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000442600	GRAP2,LAT,PTPN6,DAG1
WP3945	TYROBP causal network in microglia	4	59	1.13	0.43	0.0296	9606.ENSP00000263867,9606.ENSP00000345492,9606.ENSP00000356505,9606.ENSP00000365411	CAPG,SH2B3,NCF2,APBB1IP
WP4205	MET in type 1 papillary renal cell carcinoma	4	58	1.13	0.43	0.0296	9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000395574	CRKL,SRC,CDKN1A,ELOA
WP2324	AGE/RAGE pathway	4	66	1.08	0.42	0.0309	9606.ENSP00000311032,9606.ENSP00000338934,9606.ENSP00000356436,9606.ENSP00000362680	CASP3,EZR,PLA2G4A,SRC
WP4752	Base excision repair	3	31	1.28	0.39	0.0435	9606.ENSP00000216714,9606.ENSP00000305480,9606.ENSP00000355759	APEX1,FEN1,PARP1
