#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP286	IL-3 signaling pathway	6	49	1.38	0.98	0.00026	9606.ENSP00000221930,9606.ENSP00000228434,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	TGFB1,CD69,STAT5B,CRKL,SRC,PTPN6
WP4666	Hepatitis B infection	7	150	0.96	0.57	0.0058	9606.ENSP00000221930,9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000468348,9606.ENSP00000479889	TGFB1,STAT5B,CASP3,SRC,CDKN1A,MAP2K6,IRAK4
WP2324	AGE/RAGE pathway	5	66	1.17	0.58	0.0077	9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000356436,9606.ENSP00000362680,9606.ENSP00000479889	STAT5B,CASP3,PLA2G4A,SRC,IRAK4
WP2037	Prolactin signaling pathway	5	76	1.11	0.53	0.0110	9606.ENSP00000293328,9606.ENSP00000300026,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,PPIB,CASP3,SRC,PTPN6
WP366	TGF-beta signaling pathway	6	132	0.95	0.51	0.0112	9606.ENSP00000221930,9606.ENSP00000262320,9606.ENSP00000313391,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000468348	TGFB1,AXIN1,DAB2,SRC,CDKN1A,MAP2K6
WP3888	VEGFA-VEGFR2 signaling	10	428	0.66	0.45	0.0112	9606.ENSP00000220764,9606.ENSP00000248553,9606.ENSP00000285735,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000369081,9606.ENSP00000391592,9606.ENSP00000416255,9606.ENSP00000468348	DECR1,HSPB1,RHOC,PLA2G4A,NCF2,SRC,TXNDC5,PTPN6,EIF4G1,MAP2K6
WP4298	Acute viral myocarditis	5	85	1.06	0.52	0.0112	9606.ENSP00000221930,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000416255,9606.ENSP00000442600	TGFB1,CASP3,SRC,EIF4G1,DAG1
WP673	ErbB signaling pathway	5	89	1.04	0.52	0.0112	9606.ENSP00000233154,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849	NCK2,STAT5B,CRKL,SRC,CDKN1A
WP69	T-cell receptor signaling pathway	5	90	1.04	0.52	0.0112	9606.ENSP00000221930,9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378845	TGFB1,GRAP2,SH2B3,CRKL,LAT
WP23	B cell receptor signaling pathway	5	97	1.01	0.5	0.0131	9606.ENSP00000346300,9606.ENSP00000376544,9606.ENSP00000391592,9606.ENSP00000423602,9606.ENSP00000468348	CRKL,CD79B,PTPN6,DAPP1,MAP2K6
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	4	53	1.17	0.51	0.0140	9606.ENSP00000248553,9606.ENSP00000262320,9606.ENSP00000321326,9606.ENSP00000384849	HSPB1,AXIN1,F2R,CDKN1A
WP437	EGF/EGFR signaling pathway	6	162	0.86	0.47	0.0140	9606.ENSP00000233154,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000366306	NCK2,DOK2,STAT5B,CRKL,SRC,SPRY2
WP304	Kit receptor signaling pathway	4	59	1.13	0.48	0.0174	9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,CRKL,SRC,PTPN6
WP382	MAPK signaling pathway	7	245	0.75	0.43	0.0174	9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000264498,9606.ENSP00000311032,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000468348	TGFB1,HSPB1,FGF2,CASP3,CRKL,PLA2G4A,MAP2K6
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	62	1.1	0.48	0.0174	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000442600	GRAP2,LAT,PTPN6,DAG1
WP5072	Modulators of TCR signaling and T cell activation	4	61	1.11	0.48	0.0174	9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000378845,9606.ENSP00000391592	GRAP2,SH2B3,LAT,PTPN6
WP5087	Malignant pleural mesothelioma	9	434	0.61	0.4	0.0188	9606.ENSP00000221930,9606.ENSP00000225474,9606.ENSP00000262320,9606.ENSP00000264498,9606.ENSP00000362680,9606.ENSP00000370989,9606.ENSP00000384849,9606.ENSP00000416255,9606.ENSP00000468348	TGFB1,CSF3,AXIN1,FGF2,SRC,CD274,CDKN1A,EIF4G1,MAP2K6
WP530	Cytokines and inflammatory response	3	26	1.36	0.49	0.0188	9606.ENSP00000221930,9606.ENSP00000225474,9606.ENSP00000263851	TGFB1,CSF3,IL7
WP4559	Interactions between immune cells and microRNAs in tumor microenvironment	3	28	1.32	0.48	0.0208	9606.ENSP00000221930,9606.ENSP00000370989,9606.ENSP00000479889	TGFB1,CD274,IRAK4
WP5095	Overview of proinflammatory and profibrotic mediators	5	126	0.89	0.44	0.0209	9606.ENSP00000221930,9606.ENSP00000225474,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000472467	TGFB1,CSF3,IL7,CXCL3,CXCL17
WP4216	Chromosomal and microsatellite instability in colorectal cancer 	4	72	1.04	0.45	0.0221	9606.ENSP00000221930,9606.ENSP00000262320,9606.ENSP00000311032,9606.ENSP00000384849	TGFB1,AXIN1,CASP3,CDKN1A
WP2261	Glioblastoma signaling pathways	4	82	0.98	0.4	0.0329	9606.ENSP00000362680,9606.ENSP00000366306,9606.ENSP00000384849,9606.ENSP00000468348	SRC,SPRY2,CDKN1A,MAP2K6
WP2380	Brain-derived neurotrophic factor (BDNF) signaling pathway	5	143	0.84	0.39	0.0329	9606.ENSP00000233154,9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000356505,9606.ENSP00000362680	NCK2,STAT5B,CASP3,NCF2,SRC
WP400	p38 MAPK signaling pathway	3	35	1.23	0.42	0.0329	9606.ENSP00000248553,9606.ENSP00000356436,9606.ENSP00000468348	HSPB1,PLA2G4A,MAP2K6
WP3937	Microglia pathogen phagocytosis pathway	3	40	1.17	0.39	0.0416	9606.ENSP00000356505,9606.ENSP00000378845,9606.ENSP00000391592	NCF2,LAT,PTPN6
WP4136	Fibrin complement receptor 3 signaling pathway	3	43	1.14	0.37	0.0487	9606.ENSP00000296026,9606.ENSP00000362680,9606.ENSP00000479889	CXCL3,SRC,IRAK4
WP2332	Interleukin-11 signaling pathway	3	44	1.13	0.37	0.0499	9606.ENSP00000221930,9606.ENSP00000362680,9606.ENSP00000462468	TGFB1,SRC,YES1
