#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5095	Overview of proinflammatory and profibrotic mediators	8	126	1.1	0.88	0.00031	9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000327513,9606.ENSP00000367832,9606.ENSP00000378517,9606.ENSP00000385675,9606.ENSP00000474412	IL7,CXCL3,CXCL5,CSF1,CCL7,SPP1,IL6,CCL5
WP3624	Lung fibrosis	5	63	1.19	0.58	0.0075	9606.ENSP00000218388,9606.ENSP00000222390,9606.ENSP00000378517,9606.ENSP00000385675,9606.ENSP00000474412	TIMP1,HGF,SPP1,IL6,CCL5
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	5	66	1.17	0.58	0.0075	9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000312002,9606.ENSP00000385675,9606.ENSP00000474412	CXCL3,CXCL5,HAVCR2,IL6,CCL5
WP5115	Network map of SARS-CoV-2 signaling pathway	8	218	0.86	0.53	0.0075	9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000385519,9606.ENSP00000385675,9606.ENSP00000391592,9606.ENSP00000415769,9606.ENSP00000474412	IL7,CXCL3,CXCL5,CD14,IL6,PTPN6,ITIH3,CCL5
WP3888	VEGFA-VEGFR2 signaling	10	428	0.66	0.46	0.0099	9606.ENSP00000220764,9606.ENSP00000248553,9606.ENSP00000285735,9606.ENSP00000299427,9606.ENSP00000339328,9606.ENSP00000356436,9606.ENSP00000362680,9606.ENSP00000369081,9606.ENSP00000391592,9606.ENSP00000416255	DECR1,HSPB1,RHOC,TPP1,PLAUR,PLA2G4A,SRC,TXNDC5,PTPN6,EIF4G1
WP4172	PI3K-Akt signaling pathway	9	336	0.72	0.48	0.0099	9606.ENSP00000222390,9606.ENSP00000261405,9606.ENSP00000263851,9606.ENSP00000321326,9606.ENSP00000327513,9606.ENSP00000355751,9606.ENSP00000378517,9606.ENSP00000384849,9606.ENSP00000385675	HGF,VWF,IL7,F2R,CSF1,THBS2,SPP1,CDKN1A,IL6
WP4136	Fibrin complement receptor 3 signaling pathway	4	43	1.26	0.56	0.0103	9606.ENSP00000296026,9606.ENSP00000362680,9606.ENSP00000385519,9606.ENSP00000385675	CXCL3,SRC,CD14,IL6
WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	4	47	1.22	0.53	0.0125	9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000428924,9606.ENSP00000462468	SRC,IL6,LYN,YES1
WP2848	Pluripotent stem cell differentiation pathway	4	47	1.22	0.53	0.0125	9606.ENSP00000222390,9606.ENSP00000327513,9606.ENSP00000381775,9606.ENSP00000385675	HGF,CSF1,TNFSF11,IL6
WP286	IL-3 signaling pathway	4	49	1.21	0.53	0.0125	9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592,9606.ENSP00000428924	CRKL,SRC,PTPN6,LYN
WP4300	Extracellular vesicles in the crosstalk of cardiac cells	3	19	1.49	0.55	0.0127	9606.ENSP00000248553,9606.ENSP00000378517,9606.ENSP00000385675	HSPB1,SPP1,IL6
WP2507	Nanomaterial induced apoptosis	3	20	1.47	0.54	0.0134	9606.ENSP00000258080,9606.ENSP00000287295,9606.ENSP00000499058	HTRA2,AIFM1,DIABLO
WP3929	Chemokine signaling pathway	6	165	0.86	0.47	0.0139	9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000346300,9606.ENSP00000367832,9606.ENSP00000428924,9606.ENSP00000474412	CXCL3,CXCL5,CRKL,CCL7,LYN,CCL5
WP304	Kit receptor signaling pathway	4	59	1.13	0.5	0.0152	9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592,9606.ENSP00000428924	CRKL,SRC,PTPN6,LYN
WP4205	MET in type 1 papillary renal cell carcinoma	4	58	1.13	0.5	0.0152	9606.ENSP00000222390,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849	HGF,CRKL,SRC,CDKN1A
