#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP673	ErbB signaling pathway	8	89	1.25	1.17	2.48e-05	9606.ENSP00000233154,9606.ENSP00000265171,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000469413,9606.ENSP00000500582	NCK2,EGF,STAT5B,CRKL,SRC,CDKN1A,PAK4,AKT3
WP5095	Overview of proinflammatory and profibrotic mediators	8	126	1.1	0.95	0.00015	9606.ENSP00000006053,9606.ENSP00000225474,9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000379110,9606.ENSP00000472467,9606.ENSP00000474412	CX3CL1,CSF3,IL7,CXCL3,CXCL5,CXCL1,CXCL17,CCL5
WP2324	AGE/RAGE pathway	6	66	1.25	0.89	0.00044	9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000356436,9606.ENSP00000362680,9606.ENSP00000405453,9606.ENSP00000479889	STAT5B,CASP3,PLA2G4A,SRC,MSR1,IRAK4
WP5115	Network map of SARS-CoV-2 signaling pathway	9	218	0.91	0.78	0.00044	9606.ENSP00000263851,9606.ENSP00000264498,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000305769,9606.ENSP00000311032,9606.ENSP00000379110,9606.ENSP00000391592,9606.ENSP00000474412	IL7,FGF2,CXCL3,CXCL5,SMAD1,CASP3,CXCL1,PTPN6,CCL5
WP4205	MET in type 1 papillary renal cell carcinoma	5	58	1.23	0.71	0.0024	9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000469413,9606.ENSP00000500582	CRKL,SRC,CDKN1A,PAK4,AKT3
WP5087	Malignant pleural mesothelioma	11	434	0.7	0.58	0.0024	9606.ENSP00000225474,9606.ENSP00000262320,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000296027,9606.ENSP00000362680,9606.ENSP00000379110,9606.ENSP00000384849,9606.ENSP00000469413,9606.ENSP00000474412,9606.ENSP00000500582	CSF3,AXIN1,FGF2,EGF,CXCL5,SRC,CXCL1,CDKN1A,PAK4,CCL5,AKT3
WP3929	Chemokine signaling pathway	7	165	0.92	0.63	0.0027	9606.ENSP00000006053,9606.ENSP00000293328,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000346300,9606.ENSP00000474412,9606.ENSP00000500582	CX3CL1,STAT5B,CXCL3,CXCL5,CRKL,CCL5,AKT3
WP4155	Endometrial cancer	5	63	1.19	0.69	0.0027	9606.ENSP00000262320,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000384849,9606.ENSP00000500582	AXIN1,FGF2,EGF,CDKN1A,AKT3
WP437	EGF/EGFR signaling pathway	7	162	0.93	0.64	0.0027	9606.ENSP00000233154,9606.ENSP00000265171,9606.ENSP00000276420,9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000366306	NCK2,EGF,DOK2,STAT5B,CRKL,SRC,SPRY2
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	5	66	1.17	0.69	0.0027	9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000379110,9606.ENSP00000472467,9606.ENSP00000474412	CXCL3,CXCL5,CXCL1,CXCL17,CCL5
WP4255	Non-small cell lung cancer	5	72	1.14	0.67	0.0031	9606.ENSP00000265171,9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000384849,9606.ENSP00000500582	EGF,STAT5B,CASP3,CDKN1A,AKT3
WP2037	Prolactin signaling pathway	5	76	1.11	0.65	0.0037	9606.ENSP00000293328,9606.ENSP00000300026,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,PPIB,CASP3,SRC,PTPN6
WP3888	VEGFA-VEGFR2 signaling	10	428	0.66	0.52	0.0045	9606.ENSP00000220764,9606.ENSP00000248553,9606.ENSP00000285735,9606.ENSP00000327801,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000369081,9606.ENSP00000376367,9606.ENSP00000391592	DECR1,HSPB1,RHOC,P4HB,PLA2G4A,NCF2,SRC,TXNDC5,WASF1,PTPN6
WP286	IL-3 signaling pathway	4	49	1.21	0.58	0.0079	9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,CRKL,SRC,PTPN6
WP4666	Hepatitis B infection	6	150	0.9	0.53	0.0079	9606.ENSP00000293328,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000479889,9606.ENSP00000500582	STAT5B,CASP3,SRC,CDKN1A,IRAK4,AKT3
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	4	53	1.17	0.55	0.0096	9606.ENSP00000248553,9606.ENSP00000262320,9606.ENSP00000321326,9606.ENSP00000384849	HSPB1,AXIN1,F2R,CDKN1A
WP1539	Angiogenesis	3	23	1.41	0.54	0.0133	9606.ENSP00000264498,9606.ENSP00000305769,9606.ENSP00000362680	FGF2,SMAD1,SRC
WP304	Kit receptor signaling pathway	4	59	1.13	0.51	0.0133	9606.ENSP00000293328,9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000391592	STAT5B,CRKL,SRC,PTPN6
WP3624	Lung fibrosis	4	63	1.1	0.51	0.0133	9606.ENSP00000225474,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000474412	CSF3,FGF2,EGF,CCL5
WP382	MAPK signaling pathway	7	245	0.75	0.46	0.0133	9606.ENSP00000248553,9606.ENSP00000264498,9606.ENSP00000265171,9606.ENSP00000311032,9606.ENSP00000346300,9606.ENSP00000356436,9606.ENSP00000500582	HSPB1,FGF2,EGF,CASP3,CRKL,PLA2G4A,AKT3
