#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP2037	Prolactin signaling pathway	5	76	1.11	0.38	0.0439	9606.ENSP00000267257,9606.ENSP00000300026,9606.ENSP00000311032,9606.ENSP00000362680,9606.ENSP00000391592	PXN,PPIB,CASP3,SRC,PTPN6
WP2324	AGE/RAGE pathway	4	66	1.08	0.38	0.0439	9606.ENSP00000311032,9606.ENSP00000356436,9606.ENSP00000362680,9606.ENSP00000479889	CASP3,PLA2G4A,SRC,IRAK4
WP2374	Oncostatin M signaling pathway	4	64	1.09	0.38	0.0439	9606.ENSP00000267257,9606.ENSP00000305422,9606.ENSP00000311032,9606.ENSP00000362680	PXN,CEBPB,CASP3,SRC
WP2864	Apoptosis-related network due to altered Notch3 in ovarian cancer	4	53	1.17	0.38	0.0439	9606.ENSP00000248553,9606.ENSP00000262320,9606.ENSP00000321326,9606.ENSP00000384849	HSPB1,AXIN1,F2R,CDKN1A
WP313	Hepatocyte growth factor receptor signaling	3	34	1.24	0.39	0.0439	9606.ENSP00000267257,9606.ENSP00000346300,9606.ENSP00000362680	PXN,CRKL,SRC
WP3644	NAD+ metabolism	3	16	1.57	0.4	0.0439	9606.ENSP00000355759,9606.ENSP00000366410,9606.ENSP00000367890	PARP1,NMNAT1,NADK
WP3863	T-cell antigen receptor (TCR) pathway during Staphylococcus aureus infection	4	62	1.1	0.38	0.0439	9606.ENSP00000339186,9606.ENSP00000378845,9606.ENSP00000391592,9606.ENSP00000442600	GRAP2,LAT,PTPN6,DAG1
WP3888	VEGFA-VEGFR2 signaling	9	428	0.62	0.33	0.0439	9606.ENSP00000248553,9606.ENSP00000267257,9606.ENSP00000285735,9606.ENSP00000356436,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000376367,9606.ENSP00000391592,9606.ENSP00000395574	HSPB1,PXN,RHOC,PLA2G4A,NCF2,SRC,WASF1,PTPN6,ELOA
WP3945	TYROBP causal network in microglia	4	59	1.13	0.38	0.0439	9606.ENSP00000263867,9606.ENSP00000345492,9606.ENSP00000356505,9606.ENSP00000365411	CAPG,SH2B3,NCF2,APBB1IP
WP4016	DNA IR-damage and cellular response via ATR	4	81	0.99	0.37	0.0439	9606.ENSP00000265433,9606.ENSP00000278935,9606.ENSP00000305480,9606.ENSP00000355759	NBN,CEP164,FEN1,PARP1
WP4205	MET in type 1 papillary renal cell carcinoma	4	58	1.13	0.38	0.0439	9606.ENSP00000346300,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000395574	CRKL,SRC,CDKN1A,ELOA
WP4298	Acute viral myocarditis	5	85	1.06	0.38	0.0439	9606.ENSP00000311032,9606.ENSP00000355759,9606.ENSP00000362680,9606.ENSP00000433138,9606.ENSP00000442600	CASP3,PARP1,SRC,CASP1,DAG1
WP4752	Base excision repair	3	31	1.28	0.39	0.0439	9606.ENSP00000216714,9606.ENSP00000305480,9606.ENSP00000355759	APEX1,FEN1,PARP1
WP4754	IL-18 signaling pathway	8	271	0.76	0.35	0.0439	9606.ENSP00000248553,9606.ENSP00000296026,9606.ENSP00000305422,9606.ENSP00000311032,9606.ENSP00000349446,9606.ENSP00000355330,9606.ENSP00000355759,9606.ENSP00000356505	HSPB1,CXCL3,CEBPB,CASP3,ARG1,TGM2,PARP1,NCF2
WP5072	Modulators of TCR signaling and T cell activation	4	61	1.11	0.38	0.0439	9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000378845,9606.ENSP00000391592	GRAP2,SH2B3,LAT,PTPN6
WP5115	Network map of SARS-CoV-2 signaling pathway	7	218	0.8	0.35	0.0439	9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000302935,9606.ENSP00000305422,9606.ENSP00000311032,9606.ENSP00000338171,9606.ENSP00000391592	IL7,CXCL3,IL16,CEBPB,CASP3,SKAP1,PTPN6
WP5321	Prostaglandin and leukotriene metabolism in senescence 	3	34	1.24	0.39	0.0439	9606.ENSP00000356436,9606.ENSP00000384849,9606.ENSP00000458977	PLA2G4A,CDKN1A,DPEP2
WP69	T-cell receptor signaling pathway	5	90	1.04	0.38	0.0439	9606.ENSP00000338171,9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000346300,9606.ENSP00000378845	SKAP1,GRAP2,SH2B3,CRKL,LAT
