#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5115	Network map of SARS-CoV-2 signaling pathway	9	218	0.91	0.67	0.0018	9606.ENSP00000263851,9606.ENSP00000264498,9606.ENSP00000296026,9606.ENSP00000305769,9606.ENSP00000338171,9606.ENSP00000354901,9606.ENSP00000379110,9606.ENSP00000385675,9606.ENSP00000391592	IL7,FGF2,CXCL3,SMAD1,SKAP1,CXCL9,CXCL1,IL6,PTPN6
WP2261	Glioblastoma signaling pathways	5	82	1.08	0.46	0.0218	9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000366306,9606.ENSP00000384849,9606.ENSP00000500582	EGFR,SRC,SPRY2,CDKN1A,AKT3
WP2840	Hair follicle development: cytodifferentiation - part 3 of 3	5	87	1.05	0.45	0.0218	9606.ENSP00000273261,9606.ENSP00000275493,9606.ENSP00000305769,9606.ENSP00000352785,9606.ENSP00000355124	LRIG1,EGFR,SMAD1,DSG4,KRT19
WP4300	Extracellular vesicles in the crosstalk of cardiac cells	3	19	1.49	0.48	0.0218	9606.ENSP00000248553,9606.ENSP00000275493,9606.ENSP00000385675	HSPB1,EGFR,IL6
WP4806	EGFR tyrosine kinase inhibitor resistance	5	83	1.07	0.45	0.0218	9606.ENSP00000264498,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000500582	FGF2,EGFR,SRC,IL6,AKT3
WP4970	Galanin receptor pathway	3	20	1.47	0.48	0.0218	9606.ENSP00000355124,9606.ENSP00000384849,9606.ENSP00000385675	KRT19,CDKN1A,IL6
WP5095	Overview of proinflammatory and profibrotic mediators	6	126	0.97	0.44	0.0218	9606.ENSP00000263851,9606.ENSP00000296026,9606.ENSP00000354901,9606.ENSP00000367832,9606.ENSP00000379110,9606.ENSP00000385675	IL7,CXCL3,CXCL9,CCL7,CXCL1,IL6
WP673	ErbB signaling pathway	5	89	1.04	0.45	0.0218	9606.ENSP00000233154,9606.ENSP00000275493,9606.ENSP00000362680,9606.ENSP00000384849,9606.ENSP00000500582	NCK2,EGFR,SRC,CDKN1A,AKT3
WP69	T-cell receptor signaling pathway	5	90	1.04	0.45	0.0218	9606.ENSP00000338171,9606.ENSP00000339186,9606.ENSP00000345492,9606.ENSP00000378845,9606.ENSP00000385675	SKAP1,GRAP2,SH2B3,LAT,IL6
WP1539	Angiogenesis	3	23	1.41	0.47	0.0233	9606.ENSP00000264498,9606.ENSP00000305769,9606.ENSP00000362680	FGF2,SMAD1,SRC
