#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP5095	Overview of proinflammatory and profibrotic mediators	11	126	1.24	1.67	6.80e-08	9606.ENSP00000225474,9606.ENSP00000244241,9606.ENSP00000259607,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000296545,9606.ENSP00000327513,9606.ENSP00000351671,9606.ENSP00000367832,9606.ENSP00000385675,9606.ENSP00000474412	CSF3,IL17C,CCL21,CXCL3,CXCL5,IL15,CSF1,CCL20,CCL7,IL6,CCL5
WP3929	Chemokine signaling pathway	10	165	1.08	1.19	6.95e-06	9606.ENSP00000259607,9606.ENSP00000267257,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000351671,9606.ENSP00000363117,9606.ENSP00000367832,9606.ENSP00000428924,9606.ENSP00000474412,9606.ENSP00000483825	CCL21,PXN,CXCL3,CXCL5,CCL20,FGR,CCL7,LYN,CCL5,IKBKG
WP5115	Network map of SARS-CoV-2 signaling pathway	10	218	0.96	0.96	5.58e-05	9606.ENSP00000247668,9606.ENSP00000259607,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000302935,9606.ENSP00000338171,9606.ENSP00000351671,9606.ENSP00000385675,9606.ENSP00000474412,9606.ENSP00000483825	TRAF2,CCL21,CXCL3,CXCL5,IL16,SKAP1,CCL20,IL6,CCL5,IKBKG
WP4754	IL-18 signaling pathway	10	271	0.87	0.8	0.00028	9606.ENSP00000162749,9606.ENSP00000248553,9606.ENSP00000296026,9606.ENSP00000349446,9606.ENSP00000351671,9606.ENSP00000355759,9606.ENSP00000356505,9606.ENSP00000361818,9606.ENSP00000385675,9606.ENSP00000474412	TNFRSF1A,HSPB1,CXCL3,ARG1,CCL20,PARP1,NCF2,SDC4,IL6,CCL5
WP3644	NAD+ metabolism	4	16	1.7	0.99	0.00037	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000366410,9606.ENSP00000367890	NAMPT,PARP1,NMNAT1,NADK
WP5285	Immune infiltration in pancreatic cancer	5	38	1.42	0.95	0.00037	9606.ENSP00000244241,9606.ENSP00000296027,9606.ENSP00000351671,9606.ENSP00000385675,9606.ENSP00000474412	IL17C,CXCL5,CCL20,IL6,CCL5
WP4136	Fibrin complement receptor 3 signaling pathway	5	43	1.36	0.91	0.00045	9606.ENSP00000296026,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000483825,9606.ENSP00000496959	CXCL3,SRC,IL6,IKBKG,ITGAM
WP5087	Malignant pleural mesothelioma	11	434	0.7	0.61	0.0014	9606.ENSP00000225474,9606.ENSP00000247668,9606.ENSP00000296027,9606.ENSP00000327513,9606.ENSP00000362680,9606.ENSP00000368710,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000386896,9606.ENSP00000433138,9606.ENSP00000474412	CSF3,TRAF2,CXCL5,CSF1,SRC,RASSF2,CDKN1A,IL6,ITGA6,CASP1,CCL5
WP530	Cytokines and inflammatory response	4	26	1.49	0.81	0.0014	9606.ENSP00000225474,9606.ENSP00000296545,9606.ENSP00000327513,9606.ENSP00000385675	CSF3,IL15,CSF1,IL6
WP5039	SARS-CoV-2 innate immunity evasion and cell-specific immune response	5	66	1.18	0.71	0.0022	9606.ENSP00000247668,9606.ENSP00000296026,9606.ENSP00000296027,9606.ENSP00000385675,9606.ENSP00000474412	TRAF2,CXCL3,CXCL5,IL6,CCL5
WP254	Apoptosis	5	83	1.08	0.61	0.0049	9606.ENSP00000162749,9606.ENSP00000247668,9606.ENSP00000365435,9606.ENSP00000433138,9606.ENSP00000483825	TNFRSF1A,TRAF2,TNFRSF1B,CASP1,IKBKG
WP3937	Microglia pathogen phagocytosis pathway	4	40	1.3	0.64	0.0049	9606.ENSP00000356505,9606.ENSP00000378845,9606.ENSP00000428924,9606.ENSP00000496959	NCF2,LAT,LYN,ITGAM
WP4016	DNA IR-damage and cellular response via ATR	5	81	1.09	0.61	0.0049	9606.ENSP00000265433,9606.ENSP00000278935,9606.ENSP00000305480,9606.ENSP00000355759,9606.ENSP00000483825	NBN,CEP164,FEN1,PARP1,IKBKG
WP231	TNF-alpha signaling pathway	5	92	1.03	0.57	0.0071	9606.ENSP00000162749,9606.ENSP00000247668,9606.ENSP00000365435,9606.ENSP00000385675,9606.ENSP00000483825	TNFRSF1A,TRAF2,TNFRSF1B,IL6,IKBKG
WP3611	Photodynamic therapy-induced AP-1 survival signaling	4	50	1.2	0.58	0.0080	9606.ENSP00000162749,9606.ENSP00000247668,9606.ENSP00000384849,9606.ENSP00000385675	TNFRSF1A,TRAF2,CDKN1A,IL6
WP2018	RANKL/RANK signaling pathway	4	55	1.16	0.54	0.0106	9606.ENSP00000247668,9606.ENSP00000362680,9606.ENSP00000428924,9606.ENSP00000483825	TRAF2,SRC,LYN,IKBKG
WP262	Ebstein-Barr virus LMP1 signaling	3	23	1.41	0.55	0.0118	9606.ENSP00000351671,9606.ENSP00000474412,9606.ENSP00000483825	CCL20,CCL5,IKBKG
WP3645	NAD+ biosynthetic pathways	3	22	1.43	0.55	0.0118	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000366410	NAMPT,PARP1,NMNAT1
WP3945	TYROBP causal network in microglia	4	59	1.13	0.53	0.0118	9606.ENSP00000356505,9606.ENSP00000365411,9606.ENSP00000365435,9606.ENSP00000496959	NCF2,APBB1IP,TNFRSF1B,ITGAM
WP5046	NAD metabolism in oncogene-induced senescence and mitochondrial dysfunction-associated senescence	3	22	1.43	0.55	0.0118	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000385675	NAMPT,PARP1,IL6
WP3888	VEGFA-VEGFR2 signaling	9	428	0.62	0.43	0.0128	9606.ENSP00000248553,9606.ENSP00000267257,9606.ENSP00000285735,9606.ENSP00000338934,9606.ENSP00000356505,9606.ENSP00000362680,9606.ENSP00000369081,9606.ENSP00000395574,9606.ENSP00000446252	HSPB1,PXN,RHOC,EZR,NCF2,SRC,TXNDC5,ELOA,SOD2
WP4655	Cytosolic DNA-sensing pathway	4	73	1.04	0.45	0.0214	9606.ENSP00000385675,9606.ENSP00000433138,9606.ENSP00000474412,9606.ENSP00000483825	IL6,CASP1,CCL5,IKBKG
WP4752	Base excision repair	3	31	1.28	0.47	0.0220	9606.ENSP00000216714,9606.ENSP00000305480,9606.ENSP00000355759	APEX1,FEN1,PARP1
WP2037	Prolactin signaling pathway	4	76	1.02	0.45	0.0226	9606.ENSP00000267257,9606.ENSP00000300026,9606.ENSP00000302150,9606.ENSP00000362680	PXN,PPIB,PRL,SRC
WP5088	Prostaglandin signaling	3	32	1.27	0.47	0.0226	9606.ENSP00000327513,9606.ENSP00000385675,9606.ENSP00000433138	CSF1,IL6,CASP1
WP4298	Acute viral myocarditis	4	85	0.97	0.41	0.0312	9606.ENSP00000355759,9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000433138	PARP1,SRC,IL6,CASP1
WP3941	Oxidative damage response	3	39	1.18	0.41	0.0350	9606.ENSP00000247668,9606.ENSP00000365435,9606.ENSP00000384849	TRAF2,TNFRSF1B,CDKN1A
WP2516	ATM signaling pathway	3	40	1.17	0.41	0.0355	9606.ENSP00000265433,9606.ENSP00000384849,9606.ENSP00000483825	NBN,CDKN1A,IKBKG
WP4480	Altered glycosylation of MUC1 in tumor microenvironment	2	9	1.65	0.43	0.0355	9606.ENSP00000385675,9606.ENSP00000483825	IL6,IKBKG
WP69	T-cell receptor signaling pathway	4	90	0.95	0.39	0.0355	9606.ENSP00000338171,9606.ENSP00000378845,9606.ENSP00000385675,9606.ENSP00000483825	SKAP1,LAT,IL6,IKBKG
WP2036	TNF-related weak inducer of apoptosis (TWEAK) signaling pathway	3	42	1.15	0.4	0.0372	9606.ENSP00000247668,9606.ENSP00000385675,9606.ENSP00000474412	TRAF2,IL6,CCL5
WP4658	Small cell lung cancer	4	95	0.92	0.38	0.0376	9606.ENSP00000247668,9606.ENSP00000384849,9606.ENSP00000386896,9606.ENSP00000483825	TRAF2,CDKN1A,ITGA6,IKBKG
WP4172	PI3K-Akt signaling pathway	7	336	0.62	0.34	0.0397	9606.ENSP00000225474,9606.ENSP00000302150,9606.ENSP00000327513,9606.ENSP00000384849,9606.ENSP00000385675,9606.ENSP00000386896,9606.ENSP00000483825	CSF3,PRL,CSF1,CDKN1A,IL6,ITGA6,IKBKG
WP185	Integrin-mediated cell adhesion	4	99	0.91	0.37	0.0409	9606.ENSP00000267257,9606.ENSP00000362680,9606.ENSP00000386896,9606.ENSP00000496959	PXN,SRC,ITGA6,ITGAM
WP3630	NAD metabolism, sirtuins and aging	2	11	1.56	0.41	0.0409	9606.ENSP00000222553,9606.ENSP00000355759	NAMPT,PARP1
WP3878	ATM signaling in development and disease 	3	45	1.12	0.39	0.0409	9606.ENSP00000248553,9606.ENSP00000265433,9606.ENSP00000483825	HSPB1,NBN,IKBKG
WP2203	Thymic stromal lymphopoietin (TSLP) signaling pathway	3	47	1.1	0.38	0.0423	9606.ENSP00000362680,9606.ENSP00000385675,9606.ENSP00000428924	SRC,IL6,LYN
WP2513	Nanoparticle triggered regulated necrosis	2	12	1.52	0.4	0.0445	9606.ENSP00000162749,9606.ENSP00000355759	TNFRSF1A,PARP1
WP1533	Vitamin B12 metabolism	3	50	1.08	0.37	0.0475	9606.ENSP00000385675,9606.ENSP00000446252,9606.ENSP00000474412	IL6,SOD2,CCL5
