#term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
WP4655	Cytosolic DNA-sensing pathway	7	73	1.28	1.03	0.00012	9606.ENSP00000286186,9606.ENSP00000351273,9606.ENSP00000369213,9606.ENSP00000385675,9606.ENSP00000385725,9606.ENSP00000433138,9606.ENSP00000483825	CASP10,CASP8,DDX58,IL6,POLR2F,CASP1,IKBKG
WP254	Apoptosis	7	83	1.22	1.0	0.00014	9606.ENSP00000216341,9606.ENSP00000275015,9606.ENSP00000286186,9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000433138,9606.ENSP00000483825	GZMB,NFKBIE,CASP10,BID,CASP8,CASP1,IKBKG
WP231	TNF-alpha signaling pathway	7	92	1.18	0.96	0.00018	9606.ENSP00000275015,9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000351908,9606.ENSP00000385675,9606.ENSP00000394560,9606.ENSP00000483825	NFKBIE,BID,CASP8,MAP3K5,IL6,MAPK9,IKBKG
WP4666	Hepatitis B infection	8	150	1.02	0.87	0.00027	9606.ENSP00000286186,9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000369213,9606.ENSP00000385675,9606.ENSP00000389377,9606.ENSP00000394560,9606.ENSP00000483825	CASP10,BID,CASP8,DDX58,IL6,NFATC1,MAPK9,IKBKG
WP4754	IL-18 signaling pathway	10	271	0.86	0.8	0.00027	9606.ENSP00000248553,9606.ENSP00000275015,9606.ENSP00000296026,9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000355759,9606.ENSP00000356505,9606.ENSP00000361818,9606.ENSP00000385675,9606.ENSP00000394560	HSPB1,NFKBIE,CXCL3,BID,CASP8,PARP1,NCF2,SDC4,IL6,MAPK9
WP3644	NAD+ metabolism	4	16	1.69	0.99	0.00036	9606.ENSP00000222553,9606.ENSP00000355759,9606.ENSP00000366410,9606.ENSP00000367890	NAMPT,PARP1,NMNAT1,NADK
WP4136	Fibrin complement receptor 3 signaling pathway	5	43	1.36	0.91	0.00048	9606.ENSP00000296026,9606.ENSP00000380948,9606.ENSP00000385675,9606.ENSP00000483825,9606.ENSP00000496959	CXCL3,ITGB2,IL6,IKBKG,ITGAM
WP3878	ATM signaling in development and disease 	5	45	1.34	0.9	0.00051	9606.ENSP00000248553,9606.ENSP00000265433,9606.ENSP00000339883,9606.ENSP00000351908,9606.ENSP00000483825	HSPB1,NBN,LBR,MAP3K5,IKBKG
WP4298	Acute viral myocarditis	6	85	1.14	0.84	0.00058	9606.ENSP00000318822,9606.ENSP00000351273,9606.ENSP00000355759,9606.ENSP00000380948,9606.ENSP00000385675,9606.ENSP00000433138	BID,CASP8,PARP1,ITGB2,IL6,CASP1
WP3865	Novel intracellular components of RIG-I-like receptor pathway	5	59	1.22	0.77	0.0014	9606.ENSP00000286186,9606.ENSP00000351273,9606.ENSP00000369213,9606.ENSP00000394560,9606.ENSP00000483825	CASP10,CASP8,DDX58,MAPK9,IKBKG
